model_name,dense_widths,num_params,test_loss,test_accuracy,activation_bit_width,logit_bit_width
qkeras_dense_model_128_128_58_8_0_8_0,128-128-58,27219,0.5774185061454773,0.740394115447998,8,8
qkeras_dense_model_128_2_0_4_0,128,2691,0.576200544834137,0.7430936694145203,2,4
qkeras_dense_model_128_512_8_0_4_0,128-512,71939,0.5725116729736328,0.7417439222335815,8,4
qkeras_dense_model_128_58_2_0_4_0,128-58,10195,0.5755900740623474,0.7402141690254211,2,4
qkeras_dense_model_16_128_4_0_4_0,16-128,3363,0.5775789022445679,0.7393143177032471,4,4
qkeras_dense_model_16_16_256_4_0_6_0,16-16-256,6771,0.5806947350502014,0.7379645705223083,4,6
qkeras_dense_model_16_16_256_6_0_4_0,16-16-256,6771,0.5878406167030334,0.7362548112869263,6,4
qkeras_dense_model_16_16_8_0_2_0,16-16,675,0.6249330639839172,0.713668704032898,8,2
qkeras_dense_model_16_256_6_0_4_0,16-256,6435,0.5825695395469666,0.7359848618507385,6,4
qkeras_dense_model_16_2_0_4_0,16,339,0.6304509043693542,0.7157382965087891,2,4
qkeras_dense_model_16_512_256_6_0_4_0,16-512-256,144163,0.5944653153419495,0.734545111656189,6,4
qkeras_dense_model_16_6_0_2_0,16,339,0.6547187566757202,0.710789144039154,6,2
qkeras_dense_model_256_256_128_8_0_4_0,256-256-128,105219,0.57992023229599,0.7388644218444824,8,4
qkeras_dense_model_256_256_6_0_8_0,256-256,72195,0.5677278637886047,0.7419238686561584,6,8
qkeras_dense_model_256_32_128_4_0_4_0,256-32-128,18083,0.57284015417099,0.737334668636322,4,4
qkeras_dense_model_256_8_0_2_0,256,5379,0.601151168346405,0.7279762625694275,8,2
qkeras_dense_model_256_8_0_6_0,256,5379,0.5691257119178772,0.7438135743141174,8,6
qkeras_dense_model_256_8_0_8_0,256,5379,0.56466144323349,0.7426437735557556,8,8
qkeras_dense_model_32_16_4_0_2_0,32-16,1219,0.6021956205368042,0.7270764112472534,4,2
qkeras_dense_model_32_256_128_8_0_4_0,32-256-128,43843,0.581637442111969,0.7358049154281616,8,4
qkeras_dense_model_32_2_0_2_0,32,675,0.6423880457878113,0.6984612345695496,2,2
qkeras_dense_model_32_2_0_6_0,32,675,0.5913093686103821,0.7347251176834106,2,6
qkeras_dense_model_32_32_8_0_2_0,32-32,1859,0.6048146486282349,0.7220372557640076,8,2
qkeras_dense_model_32_4_0_8_0,32,675,0.5779551863670349,0.7404841184616089,4,8
qkeras_dense_model_32_512_256_8_0_2_0,32-512-256,152643,0.6094887852668762,0.7254566550254822,8,2
qkeras_dense_model_32_58_256_8_0_4_0,32-58-256,19621,0.5867293477058411,0.7360748648643494,8,4
qkeras_dense_model_512_16_256_2_0_6_0,512-16-256,23635,0.5824971795082092,0.7366147637367249,2,6
qkeras_dense_model_512_256_256_4_0_6_0,512-256-256,209155,0.5782509446144104,0.7418338656425476,4,6
qkeras_dense_model_512_2_0_4_0,512,10755,0.5692945718765259,0.740394115447998,2,4
qkeras_dense_model_512_32_32_8_0_4_0,512-32-32,27043,0.572131335735321,0.7390443682670593,8,4
qkeras_dense_model_512_4_0_2_0,512,10755,0.5984681844711304,0.7290560603141785,4,2
qkeras_dense_model_512_58_6_0_2_0,512-58,39379,0.5742790102958679,0.7367047667503357,6,2
qkeras_dense_model_512_64_4_0_2_0,512-64,42499,0.570500910282135,0.7421038150787354,4,2
qkeras_dense_model_58_16_4_0_6_0,58-16,2103,0.5741920471191406,0.7406640648841858,4,6
qkeras_dense_model_58_16_58_8_0_4_0,58-16-58,3447,0.5755971074104309,0.7385044693946838,8,4
qkeras_dense_model_58_32_6_0_2_0,58-32,3159,0.5785737037658691,0.7385944128036499,6,2
qkeras_dense_model_58_4_0_2_0,58,1221,0.6092348694801331,0.7268964052200317,4,2
qkeras_dense_model_58_512_256_6_0_4_0,58-512-256,166423,0.5784724354743958,0.7370647192001343,6,4
qkeras_dense_model_58_64_16_2_0_6_0,58-64-16,6231,0.5912056565284729,0.7297759652137756,2,6
qkeras_dense_model_58_64_6_0_4_0,58-64,5271,0.5703933238983154,0.7379645705223083,6,4
qkeras_dense_model_64_128_16_8_0_2_0,64-128-16,12163,0.5813538432121277,0.7318455576896667,8,2
qkeras_dense_model_64_128_8_0_6_0,64-128,10371,0.5714401602745056,0.7425537705421448,8,6
qkeras_dense_model_64_16_16_2_0_4_0,64-16-16,2643,0.5894712209701538,0.7331953644752502,2,4
qkeras_dense_model_64_16_32_4_0_2_0,64-16-32,3027,0.5934407114982605,0.7309457659721375,4,2
qkeras_dense_model_64_32_58_4_0_4_0,64-32-58,5683,0.5753344297409058,0.7363448143005371,4,4
qkeras_dense_model_64_4_0_6_0,64,1347,0.5728999376296997,0.7435436248779297,4,6
qkeras_dense_model_64_58_4_0_6_0,64-58,5331,0.5693846344947815,0.7416539192199707,4,6
qkeras_dense_model_64_58_58_4_0_4_0,64-58-58,8985,0.5786222219467163,0.7347251176834106,4,4
qkeras_dense_model_64_64_2_0_2_0,64-64,5763,0.5990017652511597,0.7241969108581543,2,2
qkeras_dense_model_64_6_0_2_0,64,1347,0.608609139919281,0.7206875085830688,6,2
